סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
18,אבו גווייעד שבט,967,2018,595,6,589,13,0,554,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,8,2,0,0,0,0,2,2,
2,אבו גוש,472,4821,2718,36,2682,75,4,2157,0,0,0,5,0,0,5,1,0,1,0,0,5,280,0,0,0,3,2,123,0,2,0,0,1,4,14,
6,אבו סנאן,473,9422,6090,53,6037,92,6,4458,0,1,0,16,1,2,13,2,0,1,1,2,230,190,3,2,1,3,3,752,0,2,2,1,2,4,247,
18,אבו עבדון שבט,958,142,41,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,אבו קורינאת שבט,968,3037,1336,8,1328,9,0,1263,0,0,0,1,0,0,3,0,0,1,0,0,0,8,0,1,2,1,0,33,0,2,1,0,2,1,0,
18,אבו קרינאת יישוב,1342,578,334,3,331,9,0,264,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,2,0,0,0,0,0,
18,אבו רובייעה שבט,966,4060,1524,21,1503,8,1,1431,3,1,0,1,0,1,3,0,0,0,1,0,1,4,0,3,0,4,4,24,0,2,2,1,2,3,3,
18,אבו רוקייק שבט,961,4870,2171,5,2166,3,2,2126,0,1,0,1,0,1,1,1,0,0,0,0,1,3,1,1,0,0,2,11,0,2,2,2,1,3,1,
18,אבו תלול,1375,943,576,2,574,0,0,565,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,
8,אבטין,652,1818,1161,10,1151,4,0,1110,0,0,0,1,0,0,3,1,0,0,1,0,1,8,0,0,0,0,2,18,0,0,0,0,1,0,1,
6,אבטליון,1275,308,233,0,233,35,0,7,1,0,0,9,0,0,0,0,0,0,0,0,4,25,10,0,0,0,0,142,0,0,0,0,0,0,0,
9,אביאל,679,519,413,0,413,49,4,6,1,0,0,9,0,0,0,0,0,0,0,0,7,107,1,0,0,1,0,225,0,0,0,0,0,0,3,
3,אביבים,1115,332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61,
17,אביגדור,819,617,488,4,484,62,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,326,0,0,0,0,0,0,6,
10,אביחיל,175,983,734,1,733,82,2,7,0,0,0,15,0,0,0,0,0,0,0,0,13,115,0,0,0,1,0,491,0,0,0,0,0,0,7,
5,אביטל,2052,417,330,0,330,4,10,0,0,0,0,15,0,0,0,0,0,0,0,1,4,240,0,0,0,4,0,29,0,0,0,0,0,0,23,
2,אביעזר,1070,577,445,0,445,32,1,4,1,0,0,33,0,0,0,0,0,0,0,0,21,196,0,0,0,3,0,139,0,0,0,0,0,0,15,
6,אבירים,1220,210,160,1,159,58,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,82,0,0,0,0,0,0,2,
10,אבן יהודה,182,9935,7569,27,7542,725,51,28,9,0,0,202,0,1,1,0,0,0,0,2,190,1862,2,0,1,19,0,4298,1,0,1,0,0,0,149,
6,אבן מנחם,1081,281,193,0,193,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,125,0,0,0,1,0,33,0,0,0,0,0,0,20,
2,אבן ספיר,783,497,351,2,349,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,219,0,0,0,2,0,73,0,0,0,0,0,0,13,
17,אבן שמואל,400,912,787,2,785,4,27,0,0,0,0,299,0,0,0,0,0,0,0,0,0,348,1,0,0,6,0,13,0,0,0,0,0,0,87,
4,אבני איתן,4011,402,311,0,311,4,5,1,0,0,0,158,0,0,0,0,0,1,0,0,1,92,0,0,0,17,0,23,0,0,0,0,0,0,9,
10,אבני חפץ,3793,1107,882,1,881,2,20,0,0,0,0,400,0,0,0,0,0,0,0,0,0,337,0,0,0,23,0,4,1,0,0,0,0,0,94,
18,אבשלום,1311,250,158,1,157,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,41,1,0,0,0,0,35,0,0,0,0,0,0,0,
2,אדורה,3759,246,191,0,191,5,4,1,0,0,0,60,0,0,0,0,0,0,0,0,4,72,1,0,0,9,0,32,0,0,0,0,0,0,3,
5,אדירים,113,233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58,
6,אדמית,1068,354,195,0,195,56,0,14,0,0,0,3,0,0,0,0,0,0,0,0,18,36,1,0,0,0,0,65,1,0,0,0,0,0,1,
2,אדרת,1123,570,409,1,408,13,4,0,0,0,0,49,0,0,0,0,0,0,0,0,1,238,1,0,0,3,0,53,0,0,0,0,0,0,46,
10,אודים,446,807,615,1,614,84,1,4,0,0,0,9,0,0,0,0,0,0,0,0,19,89,0,0,1,1,0,396,1,0,0,0,0,0,9,
3,אודם,4010,121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1,
18,אוהד,1046,267,185,0,185,6,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,73,0,0,0,0,0,0,6,
9,אום אלפחם,2710,35711,22535,126,22409,88,1,22079,1,1,0,7,1,1,18,1,1,4,2,3,4,64,2,2,0,3,12,65,4,6,3,7,4,13,12,
9,אום אלקוטוף,2024,717,580,1,579,10,0,558,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,
18,אום בטין,1358,2011,1158,8,1150,3,0,1125,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,1,1,5,0,0,0,1,3,0,3,
5,אומן,1108,367,231,0,231,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,31,135,0,0,0,0,0,41,0,0,0,0,0,0,6,
10,אומץ,680,512,388,0,388,56,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,57,0,0,0,0,0,258,0,0,0,0,0,0,6,
18,אופקים,31,21810,14655,109,14546,243,2198,18,7,0,0,572,3,4,1,1,2,1,0,2,1118,5881,5,1,0,90,0,1012,1,1,3,0,0,4,3378,
3,אור הגנוז,1294,281,184,0,184,2,83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,1,0,0,0,0,0,0,58,
17,אור הנר,67,616,469,0,469,112,0,3,2,0,0,5,0,0,0,0,0,0,0,0,11,32,0,1,0,0,0,302,0,0,0,0,0,0,1,
16,אור יהודה,2400,26945,18883,149,18734,558,196,16,3,0,0,506,1,2,2,0,2,0,3,2,357,10274,12,3,1,98,0,3228,1,4,1,1,4,3,3456,
9,אור עקיבא,1020,15949,10300,63,10237,195,137,12,7,1,0,322,1,0,1,0,1,2,1,3,1151,5793,7,0,1,53,0,1418,0,0,2,1,1,5,1122,
2,אורה,780,840,602,1,601,39,4,0,0,0,0,26,0,0,0,0,0,0,0,0,13,279,0,0,0,6,0,178,0,0,0,0,0,0,56,
17,אורות,2012,437,319,2,317,44,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,212,0,0,0,0,0,0,4,
3,אורטל,4013,248,177,0,177,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,110,0,0,0,0,0,0,2,
18,אורים,403,448,238,1,237,67,1,5,0,0,0,1,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,142,1,0,0,0,0,0,0,
19,אורנית,3760,6421,4937,10,4927,216,36,2,2,0,0,576,0,0,0,0,0,1,0,0,195,1641,1,0,0,12,0,2169,3,0,0,1,1,0,71,
8,אושה,278,368,260,0,260,48,0,4,0,0,0,4,0,0,0,0,0,0,0,0,6,20,0,0,0,1,0,177,0,0,0,0,0,0,0,
16,אזור,565,9778,6730,41,6689,339,76,24,2,1,0,231,0,0,0,1,1,0,0,1,317,2750,16,1,0,33,1,2148,1,2,3,0,2,0,739,
17,אחווה,1157,185,143,0,143,13,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,28,0,1,0,0,0,88,0,0,0,0,0,0,2,
17,אחוזם,821,396,277,0,277,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,190,0,0,0,2,0,11,0,0,0,0,0,0,63,
5,אחוזת ברק,1330,1713,1304,2,1302,87,2,0,3,0,0,46,0,0,0,0,0,0,0,1,83,535,0,0,0,3,0,516,0,0,0,0,0,0,26,
6,אחיהוד,785,659,512,6,506,4,8,0,0,0,0,45,0,0,0,0,0,0,0,1,3,340,0,0,0,5,0,29,0,0,0,0,0,0,71,
10,אחיטוב,850,714,546,4,542,28,2,3,0,0,0,14,0,0,0,0,0,0,0,0,14,201,1,0,0,0,0,230,0,0,0,0,0,0,49,
12,אחיסמך,804,878,744,2,742,8,5,0,0,0,0,12,0,0,0,0,0,0,0,0,3,512,0,0,0,7,0,26,0,0,0,0,0,0,169,
12,אחיעזר,797,1178,1026,4,1022,0,33,0,0,0,0,93,0,0,0,0,0,0,0,0,1,409,0,0,0,2,0,13,0,0,0,0,0,0,471,
18,אטרש שבט,965,1585,514,3,511,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,18,0,1,0,1,0,0,1,
17,איבים,338,126,35,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,0,3,
19,אייל,716,391,308,1,307,95,0,2,3,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,195,0,0,0,0,0,0,0,
3,איילת השחר,77,818,587,2,585,124,2,2,2,0,0,11,0,1,0,0,0,0,0,0,20,50,0,0,1,0,0,370,1,0,0,0,0,0,1,
6,אילון,294,819,621,2,619,187,1,9,2,0,0,17,0,0,0,0,0,0,0,0,13,92,1,0,0,0,0,296,0,0,0,0,0,0,1,
18,אילות,1126,253,164,0,164,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,88,0,0,0,0,0,0,0,
4,אילניה,49,462,305,0,305,20,1,0,1,0,0,16,0,0,0,0,0,0,0,0,10,115,0,0,0,2,0,137,0,1,0,0,0,0,2,
18,אילת,2600,50714,22754,118,22636,851,185,237,19,1,0,728,3,1,1,2,1,2,5,6,1605,11250,16,5,1,102,2,6163,11,3,5,1,3,5,1422,
13,אירוס,1336,410,309,0,309,24,3,0,0,0,0,5,0,0,0,0,0,0,0,0,7,96,0,0,0,0,0,173,0,0,0,0,0,0,1,
19,איתמר,3762,592,442,0,442,0,46,0,2,0,0,272,0,0,0,0,0,0,0,0,1,79,0,0,0,16,0,1,0,0,0,0,0,1,24,
17,איתן,37,350,274,1,273,1,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,176,1,0,0,5,0,6,0,0,0,0,0,0,48,
5,אכסאל,478,9637,6553,41,6512,26,2,6387,0,0,0,1,0,0,2,0,0,0,0,0,0,37,0,1,0,0,2,34,1,1,4,0,3,2,9,
18,אל סייד,1359,1762,889,10,879,53,2,699,0,0,0,1,0,1,0,2,0,0,0,0,1,21,0,1,1,1,4,86,0,1,2,0,1,1,1,
9,אלעריאן,1316,127,104,1,103,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
3,אלרום,4003,343,252,2,250,61,0,1,0,0,0,9,0,0,0,0,0,0,0,0,19,38,1,0,0,0,0,121,0,0,0,0,0,0,0,
17,אלומה,1145,330,280,0,280,0,74,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,182,
4,אלומות,330,300,210,0,210,50,1,0,0,0,0,8,0,0,0,0,0,0,0,0,4,24,0,0,0,1,0,119,0,0,0,0,0,0,3,
5,אלון הגליל,1182,828,614,1,613,151,0,3,0,0,0,11,0,0,0,0,0,0,0,0,8,33,0,0,0,0,0,407,0,0,0,0,0,0,0,
19,אלון מורה,3579,924,716,2,714,1,27,0,0,0,0,494,0,0,0,0,0,0,0,0,1,108,0,0,0,62,0,1,0,0,0,0,0,0,20,
2,אלון שבות,3604,2177,1647,6,1641,21,42,1,2,1,0,1067,0,0,0,0,0,0,0,1,6,393,1,0,0,21,0,74,0,1,0,0,0,0,10,
5,אלוני אבא,429,682,530,0,530,85,1,3,1,0,0,11,0,0,0,0,0,0,0,0,8,53,0,0,0,0,0,367,0,0,0,0,0,0,1,
3,אלוני הבשן,4017,221,152,0,152,3,1,0,1,0,0,78,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,4,0,0,0,0,0,0,2,
9,אלוני יצחק,868,120,23,0,23,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,13,0,0,0,0,0,0,0,
5,אלונים,285,511,376,1,375,86,0,1,0,0,0,5,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,254,0,0,0,0,1,0,1,
4,אליעד,4002,307,222,3,219,26,1,1,0,0,0,16,0,0,0,0,0,0,0,0,14,33,1,0,0,2,0,122,0,0,0,0,0,0,3,
17,אליאב,1365,224,197,1,196,24,0,1,0,0,0,59,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,88,0,0,0,0,0,0,0,
10,אליכין,41,2579,1958,2,1956,73,41,1,2,0,0,83,0,0,0,0,0,0,0,0,29,1071,0,1,0,13,0,363,1,0,0,0,0,1,277,
