סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
0,1010,1000,1000,30,970,מעטפות כפולות,125,60,22,4,6,0,0,0,0,165,7,56,19,330,64,3,6,4,1,1,2,2,0,0,25,1,7,60
0,1020,949,949,6,943,מעטפות כפולות,100,34,2,0,0,1,0,0,0,189,0,64,16,374,70,4,11,1,0,0,0,0,0,0,26,0,4,47
0,1030,935,935,35,900,מעטפות כפולות,158,49,34,2,1,0,0,1,0,128,11,37,20,317,50,6,13,1,0,1,0,0,0,1,32,0,5,33
0,1040,951,951,7,944,מעטפות כפולות,109,36,2,1,4,1,0,3,0,190,8,56,11,324,62,3,11,2,0,1,2,0,1,0,58,0,6,53
0,1050,943,943,16,927,מעטפות כפולות,169,22,6,9,27,0,0,1,0,164,6,33,13,321,72,1,3,7,0,0,3,1,0,1,29,0,5,34
0,1060,1051,1051,5,1046,מעטפות כפולות,127,49,7,0,1,0,0,1,0,205,4,51,12,408,65,11,11,3,0,1,1,1,1,0,45,0,8,34
0,1070,1100,1100,13,1087,מעטפות כפולות,181,33,8,1,3,0,0,0,0,215,10,63,15,361,93,10,10,0,0,0,0,0,0,0,42,1,12,29
0,1080,1063,1063,5,1058,מעטפות כפולות,126,57,7,0,2,0,0,3,0,224,11,66,14,351,69,5,13,1,0,1,4,0,0,1,42,0,15,46
0,1100,1061,1061,15,1046,מעטפות כפולות,127,62,3,1,2,0,0,3,0,141,9,65,20,370,52,9,23,2,0,0,3,2,0,0,57,0,13,82
0,1110,1052,1052,16,1036,מעטפות כפולות,163,81,40,2,2,0,0,1,0,160,7,51,21,303,78,5,9,2,0,0,0,0,0,1,35,0,9,66
0,1120,1050,1050,15,1035,מעטפות כפולות,141,40,25,5,12,0,0,2,1,216,5,51,16,291,92,3,8,12,0,0,1,1,1,1,36,0,11,64
0,1130,953,953,17,936,מעטפות כפולות,153,35,12,4,5,0,0,1,0,168,6,69,15,328,49,2,12,3,0,0,0,0,0,0,28,0,5,41
0,1140,1056,1056,13,1043,מעטפות כפולות,148,62,11,16,21,0,0,3,1,164,12,44,18,347,60,7,14,12,0,0,0,1,0,0,37,1,8,56
0,1150,1057,1057,8,1049,מעטפות כפולות,126,51,5,1,1,1,0,2,1,197,3,74,21,375,76,4,13,0,0,0,1,2,0,1,34,0,6,54
0,1160,952,952,22,930,מעטפות כפולות,129,46,7,5,5,0,0,2,1,142,9,48,19,352,51,10,11,10,0,0,0,5,0,0,15,0,5,58
0,1170,1050,1050,12,1038,מעטפות כפולות,148,40,5,0,2,0,0,3,1,165,10,40,18,404,79,5,10,1,1,0,1,1,0,1,42,0,8,53
0,1180,1051,1051,12,1039,מעטפות כפולות,130,70,21,7,7,0,0,2,2,161,9,66,26,340,70,3,23,5,0,1,0,1,0,1,42,0,10,42
0,1190,1051,1051,18,1033,מעטפות כפולות,114,27,0,0,8,1,0,1,2,183,9,52,17,378,90,3,14,10,1,3,3,2,2,0,48,1,6,58
