 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אבו ג'ווייעד (שבט, 000967, 0001.0, 000690, 000118, 000008, 000110, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000005, 000000, 000000, 000000, 000000, 000000, 000094, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000003
אבו ג'ווייעד (שבט, 000967, 0002.0, 000753, 000099, 000003, 000096, 000002, 000000, 000010, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000083, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001
אבו גוש, 000472, 0001.0, 000725, 000352, 000013, 000339, 000023, 000004, 000116, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000003, 000000, 000001, 000015, 000016, 000000, 000001, 000001, 000000, 000088, 000000, 000007, 000000, 000000, 000000, 000000, 000001, 000001, 000007, 000001, 000001, 000001, 000000, 000030
אבו גוש, 000472, 0002.0, 000670, 000329, 000007, 000322, 000026, 000000, 000119, 000000, 000000, 000000, 000032, 000000, 000000, 000000, 000002, 000000, 000000, 000004, 000012, 000000, 000000, 000000, 000000, 000110, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000003, 000002, 000001, 000001, 000000, 000008
אבו גוש, 000472, 0003.0, 000704, 000345, 000020, 000325, 000022, 000001, 000111, 000000, 000002, 000000, 000006, 000000, 000000, 000001, 000001, 000000, 000000, 000029, 000011, 000000, 000000, 000002, 000000, 000124, 000000, 000003, 000001, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000001, 000002, 000000, 000005
אבו גוש, 000472, 0004.0, 000667, 000342, 000019, 000323, 000020, 000000, 000131, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000001, 000000, 000001, 000013, 000006, 000000, 000000, 000001, 000000, 000094, 000001, 000004, 000002, 000000, 000000, 000001, 000002, 000001, 000012, 000000, 000000, 000000, 000001, 000026
אבו גוש, 000472, 0005.0, 000588, 000237, 000011, 000226, 000013, 000001, 000075, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000012, 000014, 000000, 000001, 000000, 000000, 000073, 000000, 000003, 000000, 000000, 000000, 000001, 000000, 000001, 000002, 000000, 000000, 000000, 000000, 000026
אבו גוש, 000472, 0006.0, 000535, 000239, 000009, 000230, 000014, 000001, 000092, 000000, 000000, 000000, 000029, 000000, 000000, 000000, 000002, 000000, 000000, 000008, 000004, 000000, 000000, 000000, 000000, 000058, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000002, 000005, 000001, 000001, 000000, 000000, 000011
אבו סנאן, 000473, 0001.0, 000631, 000366, 000004, 000362, 000009, 000001, 000041, 000000, 000000, 000000, 000112, 000000, 000000, 000000, 000003, 000001, 000002, 000006, 000006, 000001, 000000, 000000, 000000, 000142, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000001, 000011, 000000, 000000, 000001, 000000, 000023
אבו סנאן, 000473, 0002.0, 000620, 000388, 000008, 000380, 000004, 000000, 000055, 000000, 000000, 000000, 000146, 000000, 000000, 000000, 000001, 000000, 000002, 000003, 000005, 000001, 000000, 000000, 000001, 000147, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000003, 000005, 000000, 000001, 000000, 000001, 000003
אבו סנאן, 000473, 0003.0, 000632, 000401, 000005, 000396, 000020, 000000, 000053, 000000, 000000, 000000, 000102, 000000, 000000, 000001, 000000, 000000, 000007, 000057, 000000, 000000, 000000, 000000, 000000, 000089, 000000, 000015, 000000, 000000, 000000, 000000, 000000, 000000, 000032, 000000, 000000, 000000, 000000, 000020
אבו סנאן, 000473, 0004.0, 000609, 000360, 000004, 000356, 000012, 000001, 000035, 000000, 000001, 000000, 000179, 000000, 000000, 000000, 000000, 000000, 000015, 000007, 000000, 000000, 000000, 000000, 000000, 000042, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000043, 000000, 000002, 000000, 000000, 000019
אבו סנאן, 000473, 0005.0, 000723, 000424, 000003, 000421, 000017, 000000, 000041, 000000, 000001, 000000, 000170, 000000, 000000, 000000, 000001, 000000, 000017, 000014, 000001, 000000, 000000, 000000, 000000, 000100, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000033, 000000, 000002, 000000, 000000, 000023
אבו סנאן, 000473, 0006.0, 000622, 000397, 000006, 000391, 000011, 000000, 000006, 000000, 000000, 000000, 000186, 000001, 000000, 000000, 000001, 000000, 000024, 000005, 000002, 000001, 000000, 000001, 000000, 000078, 000000, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000029, 000000, 000000, 000001, 000000, 000040
אבו סנאן, 000473, 0007.0, 000624, 000408, 000011, 000397, 000010, 000000, 000005, 000001, 000001, 000000, 000160, 000000, 000000, 000000, 000001, 000000, 000032, 000010, 000002, 000000, 000000, 000000, 000000, 000076, 000000, 000003, 000000, 000000, 000000, 000000, 000001, 000001, 000042, 000000, 000001, 000002, 000000, 000049
אבו סנאן, 000473, 0008.0, 000654, 000452, 000000, 000452, 000007, 000000, 000075, 000000, 000000, 000000, 000194, 000000, 000000, 000001, 000000, 000000, 000001, 000002, 000006, 000000, 000000, 000000, 000000, 000150, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000002, 000005, 000000, 000000, 000000, 000001, 000007
אבו סנאן, 000473, 0009.0, 000710, 000380, 000006, 000374, 000014, 000000, 000021, 000000, 000000, 000000, 000097, 000000, 000000, 000001, 000000, 000000, 000034, 000012, 000001, 000000, 000000, 000001, 000000, 000149, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000017, 000000, 000001, 000000, 000001, 000023
אבו סנאן, 000473, 0010.0, 000644, 000356, 000004, 000352, 000020, 000000, 000012, 000000, 000001, 000000, 000070, 000002, 000000, 000001, 000001, 000000, 000031, 000031, 000000, 000000, 000000, 000000, 000000, 000108, 000001, 000005, 000002, 000001, 000000, 000000, 000000, 000000, 000011, 000002, 000003, 000002, 000001, 000047
אבו סנאן, 000473, 0011.0, 000693, 000377, 000005, 000372, 000054, 000001, 000005, 000000, 000000, 000000, 000077, 000000, 000000, 000000, 000001, 000000, 000005, 000062, 000006, 000000, 000000, 000001, 000000, 000041, 000000, 000012, 000000, 000000, 000000, 000002, 000000, 000000, 000025, 000000, 000003, 000001, 000001, 000075
אבו סנאן, 000473, 0012.0, 000724, 000423, 000009, 000414, 000043, 000000, 000023, 000000, 000001, 000001, 000101, 000001, 000000, 000000, 000001, 000000, 000018, 000042, 000006, 000000, 000000, 000000, 000001, 000084, 000000, 000007, 000001, 000002, 000000, 000000, 000002, 000000, 000039, 000000, 000002, 000001, 000001, 000037
אבו עבדון (שבט), 000958, 0001.0, 000106, 000069, 000000, 000069, 000000, 000000, 000007, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000000, 000000, 000060, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אבו קורינאת (שבט), 000968, 0001.0, 000609, 000166, 000002, 000164, 000001, 000000, 000015, 000000, 000000, 000000, 000003, 000000, 000000, 000001, 000000, 000000, 000000, 000003, 000002, 000000, 000000, 000001, 000000, 000112, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000023
אבו קורינאת (שבט), 000968, 0002.0, 000510, 000136, 000002, 000134, 000002, 000000, 000010, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000001, 000000, 000000, 000000, 000000, 000092, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000001, 000001, 000021
אבו קורינאת (שבט), 000968, 0003.0, 000687, 000222, 000005, 000217, 000002, 000000, 000014, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000003, 000000, 000001, 000000, 000000, 000159, 000000, 000001, 000000, 000000, 000000, 000001, 000002, 000000, 000000, 000000, 000000, 000001, 000002, 000025
אבו קורינאת (שבט), 000968, 0004.0, 000580, 000136, 000001, 000135, 000000, 000000, 000006, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000002, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000102, 000000, 000002, 000000, 000001, 000000, 000000, 000000, 000000, 000002, 000001, 000002, 000001, 000002, 000010
אבו קרינאת (יישוב, 001342, 0001.0, 000135, 000059, 000005, 000054, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000029, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000022
אבו רובייעה (שבט), 000966, 0001.0, 000657, 000108, 000003, 000105, 000002, 000000, 000011, 000000, 000000, 000000, 000003, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000066, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000001, 000000, 000000, 000000, 000000, 000014
אבו רובייעה (שבט), 000966, 0002.0, 000558, 000075, 000001, 000074, 000004, 000000, 000007, 000001, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000048, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000001, 000000, 000001, 000000, 000005
אבו רובייעה (שבט), 000966, 0003.0, 000606, 000112, 000000, 000112, 000005, 000001, 000019, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000001, 000001, 000062, 000000, 000000, 000000, 000001, 000000, 000001, 000004, 000001, 000000, 000003, 000001, 000000, 000000, 000010
אבו רובייעה (שבט), 000966, 0004.0, 000551, 000084, 000004, 000080, 000003, 000000, 000007, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000002, 000000, 000000, 000000, 000000, 000051, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000003, 000002, 000000, 000000, 000000, 000000, 000008
אבו רובייעה (שבט), 000966, 0005.0, 000723, 000109, 000004, 000105, 000003, 000000, 000023, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000002, 000000, 000058, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000014
אבו רוקייק (שבט), 000961, 0001.0, 000650, 000167, 000003, 000164, 000000, 000001, 000014, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000141, 000000, 000001, 000001, 000000, 000000, 000001, 000000, 000001, 000001, 000000, 000000, 000000, 000001, 000002
אבו רוקייק (שבט), 000961, 0002.0, 000635, 000157, 000006, 000151, 000001, 000001, 000011, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000002, 000001, 000000, 000000, 000000, 000000, 000127, 000001, 000002, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000000, 000000, 000000, 000000, 000002
אבו רוקייק (שבט), 000961, 0003.0, 000723, 000207, 000005, 000202, 000001, 000000, 000025, 000002, 000000, 000000, 000003, 000000, 000000, 000000, 000002, 000000, 000000, 000002, 000001, 000000, 000000, 000000, 000000, 000160, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000003
אבו רוקייק (שבט), 000961, 0004.0, 000741, 000223, 000004, 000219, 000000, 000000, 000029, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000000, 000169, 000000, 000001, 000001, 000000, 000000, 000000, 000000, 000003, 000000, 000005, 000001, 000000, 000002, 000005
אבו רוקייק (שבט), 000961, 0005.0, 000508, 000148, 000003, 000145, 000004, 000001, 000018, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000001, 000000, 000000, 000000, 000001, 000108, 000000, 000001, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000002, 000000, 000003
אבו רוקייק (שבט), 000961, 0006.0, 000490, 000119, 000001, 000118, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000103, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000001, 000002
אבטין, 000652, 0001.0, 000495, 000161, 000005, 000156, 000009, 000001, 000038, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000001, 000000, 000002, 000005, 000001, 000000, 000000, 000000, 000000, 000074, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000008, 000000, 000000, 000000, 000000, 000011
