סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
17,שחר,7,517,377,0,377,31,8,0,0,0,0,18,28,0,0,0,0,0,0,0,3,11,128,13,0,0,0,98,0,0,0,0,0,0,0,0,39
2,תירוש,10,332,245,0,245,1,4,0,1,0,0,20,11,0,0,0,0,0,0,0,4,0,93,1,0,0,0,6,0,0,0,0,0,0,0,0,104
17,ניר ח''ן,11,406,287,0,287,32,1,1,0,1,0,63,13,0,0,0,0,0,0,0,5,10,57,5,1,0,0,94,0,0,0,0,0,0,0,0,4
18,חצבה,13,502,373,0,373,24,2,0,0,0,0,31,17,0,1,0,0,0,0,0,4,18,25,32,0,0,0,216,0,0,0,0,2,0,0,0,1
17,נועם,15,308,228,1,227,1,4,0,0,0,0,2,8,0,0,0,0,0,0,0,4,1,158,0,0,0,0,13,0,0,0,0,0,0,0,0,36
17,בית ניר,16,437,347,0,347,34,0,4,0,0,0,2,2,0,0,0,0,0,0,0,1,7,10,133,0,0,0,153,0,0,0,0,0,0,0,0,1
17,שדה משה,18,397,305,2,303,22,0,0,0,0,0,16,4,0,1,0,0,0,0,0,2,18,78,8,0,0,0,151,0,0,0,0,0,0,0,1,2
18,באר אורה,21,574,418,1,417,38,4,3,0,0,0,0,14,0,2,1,0,0,0,0,4,33,104,31,0,0,0,179,0,0,0,0,0,0,0,0,4
16,מקווה ישראל,22,150,95,0,95,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,25,9,0,0,0,45,0,0,0,0,0,0,0,0,1
17,אמציה,23,195,143,0,143,6,2,0,0,0,0,6,57,0,0,0,0,0,0,0,9,1,30,1,0,0,0,29,0,0,0,0,0,0,0,0,2
17,לכיש,24,562,465,2,463,52,0,2,0,0,0,8,12,0,1,0,0,0,0,0,3,8,29,83,0,0,0,264,0,0,0,0,0,0,0,0,1
3,ראש פינה,26,2404,1730,3,1727,198,17,13,0,2,0,4,98,0,1,0,0,0,0,0,33,63,430,182,0,0,0,663,1,1,1,0,0,0,0,1,19
2,שדות מיכה,27,268,187,1,186,7,4,0,2,0,0,19,10,0,0,0,0,0,0,0,5,1,76,0,0,0,0,10,0,0,0,0,0,0,0,0,52
