סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
18,אבו גווייעד שבט,967,2279,549,9,540,1,0,0,0,4,38,0,0,1,0,0,0,0,0,0,0,5,0,0,12,0,0,0,1,0,1,0,468,1,0,1,0,0,0,0,0,0,0,4,3
2,אבו גוש,472,5094,2809,40,2769,14,1,1,3,1263,312,0,0,0,0,13,0,0,0,0,0,8,3,2,208,58,0,0,0,0,0,0,838,26,0,2,7,1,0,1,1,3,0,4,0
6,אבו סנאן,473,10013,5458,76,5382,34,0,3,0,677,2030,4,1,2,0,6,4,0,4,1,1,401,2,355,405,82,1,0,0,5,3,0,1160,163,0,1,4,1,3,1,6,9,0,12,1
18,אבו עבדון שבט,958,154,41,0,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
18,אבו קורינאת שבט,968,3386,1215,6,1209,5,0,1,0,10,65,0,0,1,1,0,0,0,0,1,0,0,0,0,9,6,0,0,0,1,0,1,1096,4,1,0,1,0,0,2,1,0,0,3,0
18,אבו קרינאת יישוב,1342,703,351,5,346,2,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,311,12,0,1,0,0,0,0,1,0,0,0,0
18,אבו רובייעה שבט,966,4484,1496,23,1473,10,0,0,5,24,92,0,0,0,0,1,0,1,0,2,1,12,1,2,27,5,0,0,0,2,0,1,1257,9,1,2,2,1,4,1,2,0,2,6,0
18,אבו רוקייק שבט,961,5336,2105,12,2093,0,0,0,0,35,392,0,0,0,0,17,1,1,0,0,0,2,0,2,9,4,0,1,0,0,0,1,1608,5,0,3,0,1,2,0,2,3,1,3,0
18,אבו תלול,1375,1141,653,6,647,0,0,0,0,6,136,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,1,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0
8,אבטין,652,1935,875,8,867,1,0,0,0,74,195,0,0,0,0,2,0,0,0,1,0,8,0,19,14,1,0,0,0,0,0,0,535,12,0,0,0,0,0,1,0,1,0,3,0
20,אבטליון,1275,323,244,0,244,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0
9,אביאל,679,547,405,3,402,36,0,2,2,1,3,0,0,0,0,17,0,0,0,0,0,77,0,3,71,46,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,15,0,2,0
3,אביבים,1115,347,271,1,270,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
17,אביגדור,819,607,486,3,483,38,1,3,1,0,0,0,0,0,0,31,0,0,0,0,0,100,0,1,52,26,0,1,0,0,0,0,1,218,0,1,0,0,0,0,0,0,0,9,0
10,אביחיל,175,987,698,4,694,68,2,1,0,1,3,0,0,0,0,28,0,3,1,0,0,116,0,17,98,68,0,0,0,0,0,0,1,270,0,0,0,1,0,0,0,14,0,2,0
5,אביטל,2052,414,328,1,327,2,0,7,6,0,0,0,0,0,0,86,0,1,0,0,0,33,0,2,154,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0
2,אביעזר,1070,618,497,1,496,37,4,2,1,1,7,0,0,0,0,65,1,2,0,0,0,60,0,13,174,21,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,2,0,16,0
6,אבירים,1220,235,152,2,150,29,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,12,0,4,6,38,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0
10,אבן יהודה,182,10452,7712,19,7693,540,14,59,26,2,14,0,0,0,0,416,5,23,0,0,0,1178,0,142,1509,410,0,2,0,0,1,0,8,3159,0,13,1,4,0,2,1,37,1,126,0
6,אבן מנחם,1081,278,194,0,194,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,1,89,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,33,0
2,אבן ספיר,783,506,369,1,368,12,1,4,3,0,0,0,0,0,0,42,0,1,0,0,0,48,0,2,181,10,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,3,0,18,1
17,אבן שמואל,400,1069,905,1,904,4,0,44,14,0,0,0,0,0,0,482,0,0,0,0,0,19,0,0,248,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,86,0
4,אבני איתן,4011,455,325,1,324,0,2,28,1,0,0,0,0,0,0,206,0,1,0,0,0,17,0,3,47,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,6,0
10,אבני חפץ,3793,1358,1049,5,1044,0,0,23,10,0,0,0,0,0,0,725,0,2,0,0,0,7,0,0,172,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,98,0
18,אבשלום,1311,308,199,3,196,3,0,0,2,1,0,0,0,0,0,33,0,1,0,1,0,19,0,49,47,10,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0
2,אדורה,3759,264,208,1,207,1,0,11,1,0,0,0,0,0,0,109,0,0,0,0,0,18,0,4,43,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0
5,אדירים,113,235,177,1,176,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0
6,אדמית,1068,369,205,0,205,26,2,2,0,2,4,0,0,0,0,11,0,0,0,0,0,20,0,10,37,35,0,0,0,0,0,0,4,49,0,1,0,0,0,0,0,1,0,0,1
